KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
018/111	13.5000	54.4167	51233
018/143	16.1667	54.4167	52665
018/145	16.3333	54.4167	52671
018/147	16.5000	54.4167	52674
018/149	16.6667	54.4167	52687
018/151	16.8333	54.4167	52694
018/153	17.0000	54.4167	52705
018/155	17.1667	54.4167	50559
018/157	17.3333	54.4167	52717
018/159	17.5000	54.4167	52724
018/161	17.6667	54.4167	52728
018/163	17.8333	54.4167	52730
018/165	18.0000	54.4167	52734
018/169	18.3333	54.4167	52741
018/171	18.5000	54.4167	52750
018/173	18.6667	54.4167	52755
018/181	19.3333	54.4167	02343
018/185	19.6667	54.4167	02347
018/187	19.8333	54.4167	02350
018/189	20.0000	54.4167	02358
018/191	20.1667	54.4167	02368
018/193	20.3333	54.4167	02377
018/195	20.5000	54.4167	02382
018/197	20.6667	54.4167	02386
018/199	20.8333	54.4167	02396
018/201	21.0000	54.4167	02402
018/203	21.1667	54.4167	02413
018/205	21.3333	54.4167	02423
018/207	21.5000	54.4167	02424
018/209	21.6667	54.4167	02434
018/211	21.8333	54.4167	02440
018/213	22.0000	54.4167	02443
018/215	22.1667	54.4167	02455
018/219	22.5000	54.4167	02461
019/051	 8.5000	54.3333	47737
019/053	 8.6667	54.3333	47614
019/055	 8.8333	54.3333	47743
019/057	 9.0000	54.3333	47754
019/059	 9.1667	54.3333	47762
019/061	 9.3333	54.3333	47774
019/063	 9.5000	54.3333	47778
019/065	 9.6667	54.3333	47781
019/067	 9.8333	54.3333	47792
019/069	10.0000	54.3333	47800
019/071	10.1667	54.3333	47816
019/073	10.3333	54.3333	47818
019/075	10.5000	54.3333	47831
019/077	10.6667	54.3333	47838
019/079	10.8333	54.3333	47849
019/081	11.0000	54.3333	47861
019/097	12.3333	54.3333	51239
019/099	12.5000	54.3333	51251
019/101	12.6667	54.3333	51257
019/103	12.8333	54.3333	51262
019/105	13.0000	54.3333	51269
019/107	13.1667	54.3333	51275
019/109	13.3333	54.3333	51280
019/143	16.1667	54.3333	52441
019/145	16.3333	54.3333	52451
019/147	16.5000	54.3333	52460
019/149	16.6667	54.3333	52465
019/151	16.8333	54.3333	52472
019/153	17.0000	54.3333	52476
019/155	17.1667	54.3333	52483
019/157	17.3333	54.3333	52489
019/159	17.5000	54.3333	52494
019/161	17.6667	54.3333	52497
019/163	17.8333	54.3333	52504
019/165	18.0000	54.3333	52506
019/167	18.1667	54.3333	52517
019/169	18.3333	54.3333	52524
019/171	18.5000	54.3333	52536
019/173	18.6667	54.3333	52548
019/175	18.8333	54.3333	52556
019/177	19.0000	54.3333	52570
019/179	19.1667	54.3333	52572
019/181	19.3333	54.3333	02463
019/183	19.5000	54.3333	02466
019/185	19.6667	54.3333	02471
019/187	19.8333	54.3333	02475
019/189	20.0000	54.3333	02481
019/191	20.1667	54.3333	02489
019/193	20.3333	54.3333	02497
019/195	20.5000	54.3333	02503
019/197	20.6667	54.3333	02505
