locations	strings	alignments	cognateID
30/61	ab	a b	1
30/65	ab	a b	1
30/67	ab	a b	1
30/71	aam	aa m	1
30/73	aam	aa m	1
30/75	ab	a b	1
30/77	am	a m	1
30/79	ab	a b	1
30/81	ab	a b	1
30/83	ab	a b	1
30/85	ahm	ah m	1
30/87	ab	a b	1
30/89	ab	a b	1
30/91	ab	a b	1
30/93	aab	aa b	1
30/95	ab	a b	1
30/97	am	a m	1
30/99	ab	a b	1
30/101	ab	a b	1
30/103	aam	aa m	1
30/105	oab	oa b	1
30/107	oab	oa b	1
30/109	ab	a b	1
30/111	aob	ao b	1
30/113	oab	oa b	1
30/115	ohm	oh m	1
30/117	oab	oa b	1
30/119	oab	oa b	1
30/121	oab	oa b	1
30/123	oab	oa b	1
30/125	oab	oa b	1
30/127	oab	oa b	1
30/129	ow	o w	1
30/131	NA		NA
30/133	oaw	oa w	1
30/135	ow	o w	1
30/137	aw	a w	1
30/139	ow	o w	1
30/141	auw	au w	1
30/143	auw	au w	1
30/145	auw	au w	1
30/147	auw	au w	1
30/149	auw	au w	1
30/151	auw	au w	1
30/153	auw	au w	1
30/155	auw	au w	1
30/157	auw	au w	1
30/159	auw	au w	1
30/161	auw	au w	1
30/163	auw	au w	1
30/165	auw	au w	1
30/167	ow	o w	1
30/169	ow	o w	1
30/171	ow	o w	1
30/173	aow	ao w	1
30/175	ow	o w	1
30/177	ow	o w	1
30/179	oaw	oa w	1
30/181	ow	o w	1
30/183	ow	o w	1
31/35	av	a v	1
31/37	av	a v	1
31/39	av	a v	1
31/41	ab	a b	1
31/43	ab	a b	1
31/45	ab	a b	1
31/47	oab	oa b	1
31/49	ab	a b	1
31/51	ab	a b	1
31/53	ab	a b	1
31/55	am	a m	1
31/57	ab	a b	1
31/59	ab	a b	1
31/61	ab	a b	1
31/63	ab	a b	1
31/65	ab	a b	1
31/67	ab	a b	1
31/69	ab	a b	1
31/71	ab	a b	1
31/73	ab	a b	1
31/75	ahm	ah m	1
31/77	ab	a b	1
31/79	ab	a b	1
31/81	ahm	ah m	1
31/83	ab	a b	1
31/85	ab	a b	1
31/87	ab	a b	1
31/89	ab	a b	1
31/91	ab	a b	1
31/93	oab	oa b	1
31/95	oab	oa b	1
31/97	ab	a b	1
31/99	aab	aa b	1
31/101	aab	aa b	1
31/103	aob	ao b	1
31/105	ab	a b	1
31/107	am	a m	1
31/109	oam	oa m	1
31/111	aw	a w	1
31/113	ohb	oh b	1
31/115	oab	oa b	1
31/117	ob	o b	1
31/119	aob	ao b	1
31/121	oab	oa b	1
31/123	oab	oa b	1
31/125	ow	o w	1
31/127	aw	a w	1
31/129	auw	au w	1
31/131	ow	o w	1
31/133	ow	o w	1
31/135	ow	o w	1
31/137	ow	o w	1
31/139	auw	au w	1
31/141	auw	au w	1
31/143	auw	au w	1
31/145	auw	au w	1
31/147	auw	au w	1
31/149	NA		NA
31/151	auw	au w	1
31/153	aow	ao w	1
31/155	auw	au w	1
31/157	auw	au w	1
31/159	auw	au w	1
31/161	auw	au w	1
31/163	auf	au f	1
31/167	ow	o w	1
31/169	ob	o b	1
31/171	ob	o b	1
31/173	ow	o w	1
31/175	ow	o w	1
31/177	oaw	oa w	1
31/179	ow	o w	1
32/35	av	a v	1
32/37	aw	a w	1
32/39	av	a v	1
32/41	amb	a m b	1
32/43	ab	a b	1
32/45	ahm	ah m	1
32/47	ab	a b	1
32/49	ab	a b	1
32/51	aab	aa b	1
32/53	ab	a b	1
32/55	ab	a b	1
32/57	ab	a b	1
32/59	ab	a b	1
32/61	aam	aa m	1
32/65	ab	a b	1
32/69	ab	a b	1
32/71	ab	a b	1
32/73	ab	a b	1
32/75	ab	a b	1
32/77	ab	a b	1
32/79	ab	a b	1
32/81	ab	a b	1
32/83	ab	a b	1
32/85	ab	a b	1
32/87	ab	a b	1
32/89	oab	oa b	1
32/91	aom	ao m	1
32/93	ob	o b	1
32/95	oahm	oah m	1
32/97	oam	oa m	1
32/99	oab	oa b	1
32/101	ab	a b	1
32/103	oab	oa b	1
32/105	oab	oa b	1
32/107	oab	oa b	1
32/111	oab	oa b	1
32/113	ob	o b	1
32/115	oab	oa b	1
32/117	oab	oa b	1
32/119	aob	ao b	1
32/121	oab	oa b	1
32/123	NA		NA
32/125	oab	oa b	1
32/127	oab	oa b	1
32/129	ow	o w	1
32/131	oaw	oa w	1
32/133	oaw	oa w	1
32/135	ow	o w	1
32/139	ow	o w	1
32/141	auv	au v	1
32/143	auw	au w	1
32/145	auw	au w	1
32/147	auw	au w	1
32/149	auw	au w	1
32/151	auw	au w	1
32/153	aow	ao w	1
32/157	auw	au w	1
32/159	auw	au w	1
32/161	auw	au w	1
32/163	auw	au w	1
32/167	ow	o w	1
32/169	ow	o w	1
32/171	ow	o w	1
32/173	ab	a b	1
32/175	ow	o w	1
32/177	ow	o w	1
32/179	oaw	oa w	1
32/181	aw	a w	1
32/183	NA		NA
33/35	aov	ao v	1
33/37	av	a v	1
33/39	ab	a b	1
33/41	aw	a w	1
33/43	ab	a b	1
33/45	ab	a b	1
33/47	ab	a b	1
33/49	ab	a b	1
33/51	ab	a b	1
33/53	ab	a b	1
33/55	oab	oa b	1
33/57	ab	a b	1
33/59	ahm	ah m	1
33/61	ab	a b	1
33/63	ab	a b	1
33/65	ab	a b	1
33/67	ab	a b	1
33/69	ab	a b	1
33/71	ab	a b	1
33/73	ab	a b	1
33/75	ab	a b	1
33/77	ab	a b	1
33/79	ab	a b	1
33/81	ab	a b	1
33/83	ab	a b	1
33/85	ab	a b	1
33/87	oab	oa b	1
33/89	ow	o w	1
33/91	oahm	oah m	1
33/93	oab	oa b	1
33/95	oab	oa b	1
33/97	aob	ao b	1
33/99	ob	o b	1
33/101	oam	oa m	1
33/103	oab	oa b	1
33/105	oab	oa b	1
33/107	oab	oa b	1
33/109	oam	oa m	1
33/111	oab	oa b	1
33/113	oab	oa b	1
33/115	oab	oa b	1
33/117	oab	oa b	1
33/119	ob	o b	1
33/121	oab	oa b	1
33/123	aob	ao b	1
33/125	oab	oa b	1
33/127	aow	ao w	1
33/129	auw	au w	1
33/131	ouw	ou w	1
33/133	ouw	ou w	1
33/135	aow	ao w	1
33/137	oaw	oa w	1
33/139	oaw	oa w	1
33/141	auw	au w	1
33/143	auw	au w	1
33/145	auw	au w	1
33/147	auw	au w	1
33/149	auw	au w	1
33/151	auw	au w	1
33/153	auw	au w	1
33/155	auw	au w	1
33/159	auw	au w	1
33/161	auw	au w	1
33/163	auw	au w	1
33/165	ow	o w	1
33/167	oaw	oa w	1
33/169	aw	a w	1
33/173	ow	o w	1
33/175	oew	oe w	1
33/177	ow	o w	1
34/35	auw	au w	1
34/39	ow	o w	1
34/41	ab	a b	1
34/43	aw	a w	1
34/45	aw	a w	1
34/47	ab	a b	1
34/49	aoh	aoh	1
34/51	ab	a b	1
34/53	ab	a b	1
34/55	ab	a b	1
34/57	ob	o b	1
34/59	ab	a b	1
34/61	ab	a b	1
34/63	aum	au m	1
34/65	ab	a b	1
34/67	ab	a b	1
34/69	ab	a b	1
34/71	ab	a b	1
34/73	ab	a b	1
34/75	ab	a b	1
34/77	ahm	ah m	1
34/79	ab	a b	1
34/81	ab	a b	1
34/83	ab	a b	1
34/85	oab	oa b	1
34/87	oab	oa b	1
34/89	oab	oa b	1
34/91	ohm	oh m	1
34/93	oahm	oah m	1
34/95	ow	o w	1
34/97	ob	o b	1
34/99	ab	a b	1
34/101	ob	o b	1
34/103	aob	ao b	1
34/105	ob	o b	1
34/107	ab	a b	1
34/109	ob	o b	1
34/111	oab	oa b	1
34/113	ob	o b	1
34/115	oab	oa b	1
34/117	oab	oa b	1
34/119	oab	oa b	1
34/121	aw	a w	1
34/125	ab	a b	1
34/127	ob	o b	1
34/129	ab	a b	1
34/131	ow	o w	1
34/133	ow	o w	1
34/135	ow	o w	1
34/137	ow	o w	1
34/139	auw	au w	1
34/141	auw	au w	1
34/143	auw	au w	1
34/145	auw	au w	1
34/147	ow	o w	1
34/149	auw	au w	1
34/151	auw	au w	1
34/155	auw	au w	1
34/157	auw	au w	1
34/161	auw	au w	1
34/163	oaw	oa w	1
34/165	ow	o w	1
34/167	ow	o w	1
34/169	ow	o w	1
34/173	ow	o w	1
35/35	aw	a w	1
35/37	aw	a w	1
35/39	aw	a w	1
35/41	aw	a w	1
35/43	af	a f	1
35/45	aw	a w	1
35/47	ab	a b	1
35/49	ab	a b	1
35/51	ob	o b	1
35/53	ab	a b	1
35/55	ab	a b	1
35/57	ab	a b	1
35/59	ab	a b	1
35/61	ab	a b	1
35/63	ab	a b	1
35/65	am	a m	1
35/67	ab	a b	1
35/69	ab	a b	1
35/71	ab	a b	1
35/73	ab	a b	1
35/75	ahm	ah m	1
35/77	aam	aa m	1
35/79	ab	a b	1
35/81	ab	a b	1
35/83	ab	a b	1
35/85	am	a m	1
35/87	oab	oa b	1
35/89	aom	ao m	1
35/91	av	a v	1
35/93	oab	oa b	1
35/95	oaw	oa w	1
35/97	oaw	oa w	1
35/99	ow	o w	1
35/101	aow	ao w	1
35/103	oam	oa m	1
35/105	oab	oa b	1
35/107	ow	o w	1
35/109	oab	oa b	1
35/111	oab	oa b	1
35/113	ob	o b	1
35/115	ob	o b	1
35/117	ob	o b	1
35/121	ab	a b	1
35/123	ab	a b	1
35/125	aen	ae n	1
35/127	aw	a w	1
35/129	om	o m	1
35/133	oow	oo w	1
35/135	oaw	oa w	1
35/137	aw	a w	1
35/139	ow	o w	1
35/141	auw	au w	1
35/143	auw	au w	1
35/145	auw	au w	1
35/147	auw	au w	1
35/149	auw	au w	1
35/151	ow	o w	1
35/153	auw	au w	1
35/155	auw	au w	1
35/157	auw	au w	1
35/165	oaw	oa w	1
35/167	ow	o w	1
35/169	ow	o w	1
35/171	ow	o w	1
35/173	ow	o w	1
36/33	auw	au w	1
36/35	auw	au w	1
36/39	aw	a w	1
36/41	oaw	oa w	1
36/43	av	a v	1
36/45	av	a v	1
36/47	amb	a m b	1
36/49	ab	a b	1
36/51	ab	a b	1
36/53	ab	a b	1
36/55	ab	a b	1
36/57	ab	a b	1
36/59	ab	a b	1
36/61	NA		NA
36/63	ab	a b	1
36/65	ahm	ah m	1
36/67	am	a m	1
36/69	ab	a b	1
36/71	ab	a b	1
36/73	ahm	ah m	1
36/75	aam	aa m	1
36/77	ahm	ah m	1
36/79	ab	a b	1
36/81	ab	a b	1
36/83	ab	a b	1
36/85	aow	ao w	1
36/87	aow	ao w	1
36/89	oaw	oa w	1
36/91	aow	ao w	1
36/95	oaw	oa w	1
36/97	oaw	oa w	1
36/99	oav	oa v	1
36/101	oab	oa b	1
36/103	ahn	ah n	1
36/105	oab	oa b	1
36/107	oab	oa b	1
36/109	oab	oa b	1
36/111	ahn	ah n	1
36/113	ab	a b	1
36/115	ab	a b	1
36/117	oab	oa b	1
36/119	aen	ae n	1
36/121	ab	a b	1
36/123	ab	a b	1
36/125	ab	a b	1
36/127	oab	oa b	1
36/129	ob	o b	1
36/133	oaw	oa w	1
36/135	oaw	oa w	1
36/137	ow	o w	1
36/139	ow	o w	1
36/141	ow	o w	1
36/143	auw	au w	1
36/147	auw	au w	1
36/149	auw	au w	1
36/151	auw	au w	1
36/153	auw	au w	1
36/155	auw	au w	1
36/161	ow	o w	1
36/163	NA		NA
36/165	of	o f	1
36/167	ow	o w	1
36/169	ow	o w	1
36/171	aw	a w	1
37/33	ow	o w	1
37/35	ow	o w	1
37/37	ow	o w	1
37/39	aw	a w	1
37/41	aw	a w	1
37/43	aw	a w	1
37/45	aw	a w	1
37/47	ab	a b	1
37/49	am	a m	1
37/51	ahm	ah m	1
37/53	am	a m	1
37/55	am	a m	1
37/57	ab	a b	1
37/59	ab	a b	1
37/61	ab	a b	1
37/63	ab	a b	1
37/65	ahm	ah m	1
37/67	ab	a b	1
37/69	ab	a b	1
37/71	ahm	ah m	1
37/73	ahm	ah m	1
37/75	ab	a b	1
37/77	ahm	ah m	1
37/79	ohm	oh m	1
37/81	oam	oa m	1
37/83	om	o m	1
37/85	oaw	oa w	1
37/87	oaw	oa w	1
37/89	oaw	oa w	1
37/91	ow	o w	1
37/93	aon	ao n	1
37/95	ab	a b	1
37/97	oaw	oa w	1
37/99	aw	a w	1
37/101	ahun	a h u n	1
37/105	ab	a b	1
37/107	ab	a b	1
37/109	am	a m	1
37/111	NA		NA
37/113	ab	a b	1
37/115	ahm	ah m	1
37/117	aw	a w	1
37/119	ab	a b	1
37/121	aw	a w	1
37/123	ab	a b	1
37/125	ab	a b	1
37/127	ahm	ah m	1
37/129	aw	a w	1
37/131	oaw	oa w	1
37/133	aen	ae n	1
37/135	aw	a w	1
37/137	aw	a w	1
37/139	oaw	oa w	1
37/141	oaw	oa w	1
37/145	auw	au w	1
37/147	auw	au w	1
37/149	auw	au w	1
37/151	ow	o w	1
37/153	auf	au f	1
37/155	auw	au w	1
37/157	auw	au w	1
37/159	auw	au w	1
37/163	ow	o w	1
37/171	oaw	oa w	1
38/33	auw	au w	1
38/35	ow	o w	1
38/37	aow	ao w	1
38/39	aw	a w	1
38/41	av	a v	1
38/43	aw	a w	1
38/45	av	a v	1
38/47	aeen	aee n	1
38/49	ahm	ah m	1
38/51	ab	a b	1
38/53	aw	a w	1
38/55	ahm	ah m	1
38/57	ab	a b	1
38/59	ab	a b	1
38/61	am	a m	1
38/63	aw	a w	1
38/65	am	a m	1
38/67	ab	a b	1
38/69	ab	a b	1
38/71	ab	a b	1
38/73	ahm	ah m	1
38/75	ab	a b	1
38/77	ahm	ah m	1
38/79	ahm	ah m	1
38/81	aom	ao m	1
38/83	oam	oa m	1
38/85	aw	a w	1
38/87	oaw	oa w	1
38/89	aw	a w	1
38/91	aob	ao b	1
38/93	oab	oa b	1
38/95	oaj	oa j	1
38/97	aw	a w	1
38/99	ahn	ah n	1
38/101	ahn	ah n	1
38/103	an	a n	1
38/105	an	a n	1
38/107	ahn	ah n	1
38/109	ab	a b	1
38/111	ahn	ah n	1
38/113	ahn	ah n	1
38/115	ab	a b	1
38/117	aw	a w	1
38/119	ab	a b	1
38/121	av	a v	1
38/123	an	a n	1
38/125	ahn	ah n	1
38/127	aw	a w	1
38/129	aw	a w	1
38/131	ab	a b	1
38/133	an	a n	1
38/135	oaw	oa w	1
38/145	auw	au w	1
38/147	auw	au w	1
38/149	auw	au w	1
38/151	auw	au w	1
38/153	ow	o w	1
38/155	auw	au w	1
38/159	ow	o w	1
38/161	NA		NA
38/163	auw	au w	1
39/29	av	a v	1
39/31	oav	oa v	1
39/33	ow	o w	1
39/35	aow	ao w	1
39/37	ab	a b	1
39/39	aow	ao w	1
39/41	oaw	oa w	1
39/43	aw	a w	1
39/45	aob	ao b	1
39/47	aw	a w	1
39/49	ab	a b	1
39/51	aam	aa m	1
39/53	ab	a b	1
39/55	ab	a b	1
39/57	ab	a b	1
39/59	ab	a b	1
39/61	ab	a b	1
39/63	ab	a b	1
39/65	ab	a b	1
39/67	ahm	ah m	1
39/69	ab	a b	1
39/71	ahm	ah m	1
39/73	ab	a b	1
39/75	ab	a b	1
39/77	ab	a b	1
39/79	am	a m	1
39/81	aom	ao m	1
39/83	oam	oa m	1
39/85	oam	oa m	1
39/87	oaw	oa w	1
39/89	aw	a w	1
39/91	aw	a w	1
39/93	aun	au n	1
39/95	äun	äu n	1
39/97	aan	aa n	1
39/99	aan	aa n	1
39/101	ahn	ah n	1
39/103	an	a n	1
39/105	ahn	ah n	1
39/107	aan	aa n	1
39/109	aan	aa n	1
39/111	ahn	ah n	1
39/113	aan	aa n	1
39/115	ab	a b	1
39/117	ahn	ah n	1
39/119	aen	ae n	1
39/121	ab	a b	1
39/123	ahn	ah n	1
39/125	aw	a w	1
39/127	aw	a w	1
39/129	ab	a b	1
39/131	oab	oa b	1
39/133	NA		NA
39/135	om	o m	1
39/137	om	o m	1
39/139	ob	o b	1
39/149	auw	au w	1
39/151	ow	o w	1
39/153	NA		NA
39/155	ohw	oh w	1
40/29	oaw	oa w	1
40/31	oaw	oa w	1
40/33	oow	oo w	1
40/35	oab	oa b	1
40/37	aov	ao v	1
40/39	aw	a w	1
40/41	av	a v	1
40/43	oaw	oa w	1
40/45	auw	au w	1
40/47	aub	au b	1
40/49	ab	a b	1
40/51	ahm	ah m	1
40/53	ab	a b	1
40/55	aam	aa m	1
40/57	ab	a b	1
40/59	ahm	ah m	1
40/61	ab	a b	1
40/63	ab	a b	1
40/65	ab	a b	1
40/67	ahm	ah m	1
40/69	am	a m	1
40/71	ab	a b	1
40/73	am	a m	1
40/75	ab	a b	1
40/77	am	a m	1
40/79	oab	oa b	1
40/81	oab	oa b	1
40/83	oam	oa m	1
40/85	ow	o w	1
40/87	aun	au n	1
40/89	auhn	auh n	1
40/91	aun	au n	1
40/93	aw	a w	1
40/95	ahn	ah n	1
40/97	an	a n	1
40/99	oan	oa n	1
40/101	ahn	ah n	1
40/103	aan	aa n	1
40/105	ahn	ah n	1
40/107	ab	a b	1
40/109	ab	a b	1
40/111	ahn	ah n	1
40/113	oab	oa b	1
40/115	ahn	ah n	1
40/119	oan	oa n	1
40/121	ahn	ah n	1
40/123	aw	a w	1
40/125	oen	oe n	1
40/127	aaw	aa w	1
40/129	ab	a b	1
40/131	oab	oa b	1
40/133	oam	oa m	1
40/135	om	o m	1
40/137	ob	o b	1
40/141	ob	o b	1
40/143	ob	o b	1
40/149	ob	o b	1
40/153	ow	o w	1
40/155	ew	e w	1
41/31	ow	o w	1
41/33	oav	oa v	1
41/35	aw	a w	1
41/37	aw	a w	1
41/39	aum	au m	1
41/41	ob	o b	1
41/43	aub	au b	1
41/45	aub	au b	1
41/47	aub	au b	1
41/49	ab	a b	1
41/51	ob	o b	1
41/53	ab	a b	1
41/55	ab	a b	1
41/57	ab	a b	1
41/59	ab	a b	1
41/61	ab	a b	1
41/63	am	a m	1
41/65	aam	aa m	1
41/67	ahm	ah m	1
41/69	ahm	ah m	1
41/71	ab	a b	1
41/73	ab	a b	1
41/75	ab	a b	1
41/77	ab	a b	1
41/79	oab	oa b	1
41/81	oab	oa b	1
41/83	ow	o w	1
41/85	oab	oa b	1
41/87	aon	ao n	1
41/89	aun	au n	1
41/91	aun	au n	1
41/93	an	a n	1
41/95	ahn	ah n	1
41/97	ahen	a h e n	1
41/99	ahn	ah n	1
41/101	ahn	ah n	1
41/103	ahn	ah n	1
41/105	ahn	ah n	1
41/107	on	o n	1
41/109	am	a m	1
41/111	ab	a b	1
41/113	oaan	oaa n	1
41/115	am	a m	1
41/117	ahn	ah n	1
41/119	oan	oa n	1
41/121	oan	oa n	1
41/123	on	o n	1
41/125	on	o n	1
41/127	aw	a w	1
41/129	oab	oa b	1
41/131	oab	oa b	1
41/133	ob	o b	1
41/135	ob	o b	1
41/139	ob	o b	1
41/141	ob	o b	1
41/145	ob	o b	1
41/147	ob	o b	1
41/153	auw	au w	1
41/155	auw	au w	1
41/157	ahn	ah n	1
41/159	of	o f	1
41/161	auw	au w	1
42/33	aov	ao v	1
42/35	aw	a w	1
42/37	ag	a g	1
42/39	av	a v	1
42/41	aum	au m	1
42/43	aub	au b	1
42/45	aub	au b	1
42/47	auv	au v	1
42/51	oaub	oau b	1
42/53	am	a m	1
42/55	ab	a b	1
42/57	ab	a b	1
42/59	ab	a b	1
42/61	eam	ea m	1
42/63	ab	a b	1
42/65	ab	a b	1
42/67	ab	a b	1
42/69	ab	a b	1
42/71	ab	a b	1
42/73	NA		NA
42/75	ab	a b	1
42/77	ab	a b	1
42/79	ab	a b	1
42/81	ab	a b	1
42/83	ahm	ah m	1
42/85	oab	oa b	1
42/87	oau	oau	1
42/89	oab	oa b	1
42/91	au	au	1
42/93	an	a n	1
42/95	ahn	ah n	1
42/97	ab	a b	1
42/99	ahn	ah n	1
42/101	an	a n	1
42/103	aw	a w	1
42/105	ahm	ah m	1
42/107	ahn	ah n	1
42/109	ooen	ooe n	1
42/111	oan	oa n	1
42/113	aw	a w	1
42/115	aw	a w	1
42/117	NA		NA
42/119	oan	oa n	1
42/121	oan	oa n	1
42/123	aon	ao n	1
42/125	uaw	ua w	1
42/127	oaw	oa w	1
42/129	ab	a b	1
42/131	ob	o b	1
42/133	ob	o b	1
42/135	ob	o b	1
42/137	ob	o b	1
42/139	ob	o b	1
42/141	ob	o b	1
42/143	ob	o b	1
42/145	ob	o b	1
42/147	NA		NA
42/149	ob	o b	1
42/151	NA		NA
42/157	äow	äo w	1
42/159	auw	au w	1
42/161	auw	au w	1
43/33	aw	a w	1
43/35	oaw	oa w	1
43/37	oum	ou m	1
43/39	ow	o w	1
43/41	aub	au b	1
43/43	auw	au w	1
43/45	aub	au b	1
43/47	ab	a b	1
43/49	ub	u b	1
43/51	NA		NA
43/53	oab	oa b	1
43/55	ab	a b	1
43/57	aw	a w	1
43/59	ab	a b	1
43/61	ab	a b	1
43/63	ab	a b	1
43/65	ab	a b	1
43/67	ab	a b	1
43/69	ab	a b	1
43/71	om	o m	1
43/73	NA		NA
43/75	oab	oa b	1
43/77	ab	a b	1
43/79	ab	a b	1
43/81	ab	a b	1
43/83	ahm	ah m	1
43/85	aom	ao m	1
43/87	ob	o b	1
43/89	oab	oa b	1
43/91	an	a n	1
43/93	ahn	ah n	1
43/95	ahn	ah n	1
43/97	an	a n	1
43/99	ahn	ah n	1
43/101	ahn	ah n	1
43/103	an	a n	1
43/105	ahn	ah n	1
43/107	oan	oa n	1
43/109	oan	oa n	1
43/111	oan	oa n	1
43/113	aw	a w	1
43/115	oaw	oa w	1
43/117	aw	a w	1
43/119	am	a m	1
43/121	oan	oa n	1
43/123	uohn	uoh n	1
43/125	aw	a w	1
43/127	aew	ae w	1
43/129	ov	o v	1
43/131	oob	oo b	1
43/133	ob	o b	1
43/135	ob	o b	1
43/137	ob	o b	1
43/141	ab	a b	1
43/143	ob	o b	1
43/145	ob	o b	1
43/151	NA		NA
43/153	ob	o b	1
43/159	auw	au w	1
43/161	aub	au b	1
44/33	aob	ao b	1
44/35	aov	ao v	1
44/39	oab	oa b	1
44/41	aub	au b	1
44/43	aub	au b	1
44/45	aub	au b	1
44/47	aüb	aü b	1
44/49	aub	au b	1
44/51	ab	a b	1
44/53	ab	a b	1
44/55	ob	o b	1
44/57	aub	au b	1
44/59	ab	a b	1
44/61	aab	aa b	1
44/63	ab	a b	1
44/65	ab	a b	1
44/67	oab	oa b	1
44/69	ab	a b	1
44/71	am	a m	1
44/73	ab	a b	1
44/75	ab	a b	1
44/77	am	a m	1
44/79	ahm	ah m	1
44/81	ab	a b	1
44/83	ab	a b	1
44/85	NA		NA
44/87	ahm	ah m	1
44/89	ab	a b	1
44/91	ahm	ah m	1
44/93	ab	a b	1
44/95	ob	o b	1
44/97	am	a m	1
44/99	oan	oa n	1
44/101	oahn	oah n	1
44/103	oan	oa n	1
44/105	oan	oa n	1
44/107	ohn	oh n	1
44/109	oan	oa n	1
44/111	oan	oa n	1
44/113	aow	ao w	1
44/115	aw	a w	1
44/117	oan	oa n	1
44/119	aw	a w	1
44/121	uow	uo w	1
44/123	uan	ua n	1
44/125	uohn	uoh n	1
44/127	aob	ao b	1
44/129	oab	oa b	1
44/131	auh	auh	1
44/133	ob	o b	1
44/135	ob	o b	1
44/137	ob	o b	1
44/141	ohb	oh b	1
44/143	ob	o b	1
44/145	ob	o b	1
44/149	NA		NA
44/151	ob	o b	1
44/153	ob	o b	1
45/33	ow	o w	1
45/35	aow	ao w	1
45/37	oaum	oau m	1
45/39	orm	o r m	1
45/41	aow	ao w	1
45/43	auw	au w	1
45/45	aum	au m	1
45/47	ab	a b	1
45/49	aw	a w	1
45/51	ob	o b	1
45/53	aab	aa b	1
45/55	ob	o b	1
45/57	oam	oa m	1
45/59	oaw	oa w	1
45/61	ab	a b	1
45/63	ab	a b	1
45/65	ab	a b	1
45/67	oab	oa b	1
45/69	oab	oa b	1
45/71	ahm	ah m	1
45/73	ab	a b	1
45/75	NA		NA
45/77	ab	a b	1
45/79	ab	a b	1
45/81	ab	a b	1
45/83	aam	aa m	1
45/85	am	a m	1
45/87	oab	oa b	1
45/89	oab	oa b	1
45/91	ab	a b	1
45/93	ab	a b	1
45/95	ahn	ah n	1
45/97	ab	a b	1
45/99	ahn	ah n	1
45/101	oam	oa m	1
45/103	on	o n	1
45/105	oan	oa n	1
45/107	on	o n	1
45/109	NA		NA
45/111	aw	a w	1
45/113	oab	oa b	1
45/115	ab	a b	1
45/117	aw	a w	1
45/119	aw	a w	1
45/121	ob	o b	1
45/123	ob	o b	1
45/125	ob	o b	1
45/127	ob	o b	1
45/129	ob	o b	1
45/131	oab	oa b	1
45/133	ab	a b	1
45/135	ob	o b	1
45/137	ob	o b	1
45/139	ob	o b	1
45/141	oob	oo b	1
45/143	ab	a b	1
45/145	ob	o b	1
45/155	ob	o b	1
46/31	aob	ao b	1
46/33	ob	o b	1
46/35	oub	ou b	1
46/37	oaw	oa w	1
46/39	aow	ao w	1
46/41	aob	ao b	1
46/43	auw	au w	1
46/45	om	o m	1
46/47	ob	o b	1
46/49	om	o m	1
46/51	ab	a b	1
46/53	ob	o b	1
46/55	om	o m	1
46/57	oem	oe m	1
46/59	ab	a b	1
46/61	ab	a b	1
46/63	ahm	ah m	1
46/65	ab	a b	1
46/67	ab	a b	1
46/69	ab	a b	1
46/71	aamb	aa m b	1
46/73	ab	a b	1
46/75	ab	a b	1
46/77	ab	a b	1
46/79	ab	a b	1
46/81	ab	a b	1
46/83	ab	a b	1
46/85	ab	a b	1
46/87	ab	a b	1
46/89	ab	a b	1
46/91	ab	a b	1
46/93	ahn	ah n	1
46/95	ahn	ah n	1
46/97	am	a m	1
46/99	am	a m	1
46/101	ab	a b	1
46/103	oan	oa n	1
46/105	oan	oa n	1
46/107	oan	oa n	1
46/109	oen	oe n	1
46/111	ohn	oh n	1
46/113	ab	a b	1
46/115	ab	a b	1
46/117	ab	a b	1
46/119	oab	oa b	1
46/121	am	a m	1
46/123	uam	ua m	1
46/125	oam	oa m	1
46/127	uob	uo b	1
46/129	ob	o b	1
46/131	ob	o b	1
46/133	ob	o b	1
46/135	ob	o b	1
46/137	ob	o b	1
46/139	aub	au b	1
46/141	ab	a b	1
46/143	ob	o b	1
46/155	ob	o b	1
47/31	oaw	oa w	1
47/33	ov	o v	1
47/35	aow	ao w	1
47/37	aw	a w	1
47/39	ow	o w	1
47/41	oow	oo w	1
47/43	aob	ao b	1
47/45	aow	ao w	1
47/47	ob	o b	1
47/49	ab	a b	1
47/51	om	o m	1
47/53	ohm	oh m	1
47/55	ob	o b	1
47/57	ob	o b	1
47/59	ahm	ah m	1
47/61	ahm	ah m	1
47/63	ab	a b	1
47/65	ab	a b	1
47/67	ahm	ah m	1
47/69	ab	a b	1
47/71	ab	a b	1
47/73	aäm	aä m	1
47/75	ab	a b	1
47/77	am	a m	1
47/79	ab	a b	1
47/81	ab	a b	1
47/83	ab	a b	1
47/85	ab	a b	1
47/87	ab	a b	1
47/89	ab	a b	1
47/91	oab	oa b	1
47/93	an	a n	1
47/95	ahn	ah n	1
47/97	am	a m	1
47/99	am	a m	1
47/101	oan	oa n	1
47/103	oam	oa m	1
47/105	oan	oa n	1
47/107	oahn	oah n	1
47/109	oon	oo n	1
47/111	oab	oa b	1
47/113	ab	a b	1
47/115	oab	oa b	1
47/117	oab	oa b	1
47/119	ob	o b	1
47/123	uam	ua m	1
47/125	uob	uo b	1
47/127	ob	o b	1
47/129	ob	o b	1
47/131	aub	au b	1
47/133	aub	au b	1
47/135	oob	oo b	1
47/137	ob	o b	1
47/139	aub	au b	1
47/141	aub	au b	1
47/147	ob	o b	1
47/149	ob	o b	1
47/151	ob	o b	1
47/159	ob	o b	1
48/21	ow	o w	1
48/23	o	o	1
48/27	ov	o v	1
48/29	oaw	oa w	1
