KDSA Quadrant	OCR: Kontrolle	OCR: KDSA Name
015/209	015/209	Sterkeningken (Starkenicken)
015/211	015/211	Tarpupp (Angermoor)
015/213	015/213	Florkehmen (Florhof)
015/215	015/215	Discherlauken
015/217	015/217	Pabbeln
015/219	015/219	Bareischkehmen (Baringen)
015/221	015/221	Nickelnischken (Nickelsfelde)
016/051	016/051	Hallig Hooge
016/055	016/055	Wobbenbüll
016/057	016/057	Schwesing
016/059	016/059	Treya
016/061	016/061	Silberstedt
016/063	016/063	Busdorf
016/065	016/065	Stubbe
016/067	016/067	Loose
016/081	016/081	Westermarkelsdorf/Fehmarn
016/083	016/083	Puttgarden/Fehmarn
016/105	016/105	Neündorf/Hiddensee
016/107	016/107	Trent / Rügen
016/109	016/109	Bubkevitz/Rügen
016/111	016/111	Bobbin/Rügen
016/145	016/145	Vitte
016/147	016/147	Körlin
016/149	016/149	Dünnow
016/151	016/151	Hohenstein
016/153	016/153	Groß Machmin
016/155	016/155	Dammen
016/157	016/157	Lojow
016/159	016/159	Schurow
016/161	016/161	Kamelow
016/163	016/163	Groß Boschpol
016/165	016/165	Strebielin
016/167	016/167	Pretoschin (Breitenfelde)
016/187	016/187	Follendorf
016/189	016/189	Wangniskeim
016/191	016/191	Legnitten
016/193	016/193	Tiefenthal
016/195	016/195	Woterkeim
016/197	016/197	Trinkheim
016/199	016/199	Grünbaum
016/201	016/201	Klein Schönau
016/203	016/203	Groß Nuhr
016/205	016/205	Muldzen
016/209	016/209	Scheppetschen (Oberschleifen)
016/211	016/211	Schwirgsden
016/213	016/213	Gerwischken (Richtfelde)
016/215	016/215	Wusterwitz
016/217	016/217	Enzuhnen (Roddach)
016/219	016/219	Pillupönen (Schloßbach)
017/055	017/055	ülvesbüll
017/057	017/057	Rödemis
017/059	017/059	Wittbek
017/061	017/061	Groß Rheide
017/063	017/063	Wolfskrug
017/065	017/065	Hütten
017/067	017/067	Altenhof
017/069	017/069	Freidorf / Gem.: Dänischenhagen
017/081	017/081	Avendorf/Fehmarn
017/083	017/083	Staberdorf/Fehmarn
017/099	017/099	Prerow
017/101	017/101	Sundische Wiese
017/103	017/103	Pramort
017/107	017/107	Lieschow
017/109	017/109	Ramitz
017/145	017/145	Rügenwalde
017/147	017/147	Meitzow
017/149	017/149	Thyn
017/151	017/151	Gatz
017/153	017/153	Crampe
017/155	017/155	Warbelow
017/157	017/157	Rambow
017/159	017/159	Darsow
017/161	017/161	Wussow
017/163	017/163	Buckowin
017/165	017/165	Miloschewo
017/169	017/169	Espenkrug
017/171	017/171	Renneberg
017/183	017/183	Neukrug
017/185	017/185	Neu-Passarge
017/187	017/187	Grunau
017/189	017/189	Disch. Thierau
017/191	017/191	Zinten
017/193	017/193	Glauthienen
017/195	017/195	Schlauthienen
017/197	017/197	Bönkeim
017/199	017/199	Sommerfeld
017/201	017/201	Allenau
017/203	017/203	Kortmedien
017/205	017/205	Nagurren (Freudenfelde)
017/207	017/207	Wessolowen [Wesselau]
017/209	017/209	Jodlauken
017/211	017/211	Ballethen
017/213	017/213	Groß Grobienen
017/215	017/215	Ramoschkehmen (Ramfelde)
017/217	017/217	Schackeln
017/219	017/219	Leegen
018/051	018/051	Ording
018/053	018/053	Osternever
018/055	018/055	Osterende
018/057	018/057	Koldenbûttel
018/059	018/059	Wohlde
018/061	018/061	Alt-Bennebek
018/063	018/063	Lohe
018/065	018/065	Haby
018/067	018/067	Krummwisch
018/069	018/069	Felmerholz
018/071	018/071	Schönkirchen
018/073	018/073	Hohenfelde
018/075	018/075	Deichkamp
018/079	018/079	Heiligenhafen
018/081	018/081	Großenbrode
018/097	018/097	Wustrow
018/099	018/099	Wieck
018/103	018/103	Preetz
018/105	018/105	Solkendorf
018/107	018/107	Karow/Rügen
018/109	018/109	Mölle-Medow/Rügen
018/111	018/111	Lanken/Rügen
018/143	018/143	Neuwasser
018/145	018/145	See-Buckow
018/147	018/147	Neu-Järshagen
018/149	018/149	Neu-Warschow
018/151	018/151	Zirchow
018/153	018/153	Lüllemin
018/155	018/155	Krien
018/157	018/157	Kottow
018/159	018/159	Kose
018/161	018/161	Schimmerwitz
018/163	018/163	Pallubitz
018/165	018/165	Mirchau
018/169	018/169	Gluckau
018/171	018/171	Emaus
018/173	018/173	Heubude
018/181	018/181	Pröbbernau
018/185	018/185	Fraünburg
018/187	018/187	Regitten
018/189	018/189	Eisenberg
018/191	018/191	Schönwalde
018/193	018/103	Hussennen
018/195	018/195	Tenknitten
018/197	018/197	Klein Sausgarten
018/199	018/199	Schönbruch
018/201	018/201	Heyde
018/203	018/203	Korblack
018/205	018/205	Klein Sobrost
018/207	018/207	Hochlindenberg
018/209	018/209	Lehnthal
018/211	018/211	Groß Beinuhnen
018/213	018/213	Darkehmen (Angerapp)
018/215	018/215	Gawaiten (Herzogsrode)
018/219	018/219	Szinkuhnen (Schenkenhagen)
019/051	019/051	Bon Suderhol
019/053	019/053	Well
019/055	019/055	Tönning
019/057	019/057	Kleve
019/059	019/059	Delve
019/061	019/061	Bargstall
019/063	019/063	Nübbel
019/065	019/065	Büdelsdorf
019/067	019/067	Schierensee
019/069	019/069	Molfsee
019/071	019/071	Lilienthal
019/073	019/073	Fargau
019/075	019/075	Engelau
019/077	019/077	Döhnsdorf
019/079	019/079	Meschendorf
019/081	019/081	Siggeneben
019/097	019/097	Dierhagen
019/099	019/099	Lüdershagen
019/101	019/101	Redebas
019/103	019/103	Bussin
019/105	019/105	Klein Kordshagen
019/107	019/107	Gustow
019/109	019/109	Garz
019/143	019/143	Laase
019/145	019/145	Martinshagen
019/147	019/147	Segenthin
019/149	019/149	Kusserow
019/151	019/151	Wusseken
019/153	010/153	Wobeser
019/155	019/155	Darsekow
019/157	019/157	Gaffert
019/159	019/159	Jerskewitz
019/161	019/161	Buchwalde
019/163	019/163	Sklana
019/165	019/165	Lindenhof
019/167	019/167	Neuhof
019/169	019/169	Babenthal
019/171	019/171	Straschin
019/173	019/173	Quadendorf
019/175	019/175	Klein Zünder
019/177	019/177	Altebabke
019/179	019/179	Stobbendorf
019/181	019/181	Groß Steinort
019/183	019/183	Tolkemit
019/185	019/185	Betkendorf
019/187	019/187	Mertensdorf
019/189	019/189	
019/191	019/191	
019/193	019/193	
019/195	019/195	
019/197	019/197	
019/199	019/199	
019/201	019/201	
019/203	019/203	
019/205	019/205	
019/207	019/207	
019/209	019/209	
019/211	019/211	
019/213	019/213	
019/215	019/215	
019/217	019/217	
019/219	019/219	
020/043	020/043	Helgoland
020/053	020/053	Hedwigenkoog
020/055	020/055	Wehren
020/057	020/057	Lohe
020/059	020/059	Österborstel
020/061	020/061	Wrohm
020/063	020/063	Haale
020/065	020/065	Schwabe
020/067	020/067	Ellerdorf
020/069	020/069	Bothkamp
020/071	020/071	Wahlstorf
020/073	020/073	Lepahn
020/075	020/075	Sasel
020/077	020/077	Kirchnüchel
020/079	020/079	Manhagen
020/081	020/081	Grube
020/095	020/095	Stuthof
020/097	020/097	Blankenhagen
020/099	020/099	Poppendorf
020/101	020/101	Schlemmin
020/103	020/103	Franzburg
020/105	020/105	Krummenhagen
020/107	020/107	Brandshagen
020/135	020/135	Kolberg
020/137	020/137	Bodenhagen
020/139	020/139	Strippow
020/141	020/141	Plümenhagen
020/143	020/143	Rogzow
020/145	020/145	Mocker
020/147	020/147	Söllnitz
020/149	020/149	Krangen
020/151	020/151	Seelitz
020/153	020/153	Zettin
020/155	020/155	Alt-Kolziglow
020/157	020/157	Wusseken
020/159	020/159	Groß Pomeiske
020/161	020/161	Parchau
020/163	020/163	Gostomie
020/165	020/165	Alt-Czapel
020/167	020/167	Starkhütte
020/169	020/169	Schönbeck
020/171	020/171	Rosenberg
020/173	020/173	Trutenaür Herrenland
020/175	020/175	Langfelde
020/177	020/177	Klein Mausdorf
020/179	020/179	Neustädterwald
020/181	020/181	erranova
020/183	020/183	Trunz
020/185	020/185	Schönfließ
020/187	020/187	Borchertsdorf
020/189	020/189	Bornitt
020/191	020/191	Rosengart
020/193	020/193	Groß Klaussitten
020/195	020/195	Grünwalde
020/197	020/197	Sortlack
020/199	020/199	Klein Schwansfeld
020/201	020/201	Rosenort
020/203	020/203	Wangnick
020/205	020/205	Marklack
020/207	020/207	Engelstein
020/209	020/209	Thiergarten
020/211	020/211	Brosowken (Birkenhöh)
020/213	020/213	Grodzisko
020/215	020/215	Groß Jesziorken (Schöntal)
020/217	020/217	Jakellen (Schönhofen)
020/219	020/219	Bittkowen (Bittkau)
021/055	021/055	Woehrden
021/057	021/057	Fiel
021/059	021/059	Albersdorf
021/061	021/061	Ohrsee-Gokels
021/063	021/063	Hohenwestedt
021/065	021/065	Mörel
021/067	021/067	Trimmaspe
021/069	021/069	Groß Buchwald
021/071	021/071	Ruhwinkel
021/073	021/073	Pfingstberg
021/075	021/075	Sibbersdorf
021/077	021/077	Zarnekau
021/079	021/079	Bliesdorf
021/087	021/087	Alt-Gaarz
021/089	021/089	Brunshaupten
021/091	021/091	Rethwisch
021/093	021/093	Lambrechtshagen
021/095	021/095	Mönchhagen
021/097	021/097	Dänschenburg
021/099	021/099	Schulenberg
021/101	021/101	Tribsees
021/103	021/103	Angerode
021/105	021/105	Willerswalde
021/107	021/107	Horst
021/109	021/109	Wampen
021/111	021/111	Pritzwald
021/113	021/113	Latzow
021/131	021/131	Robe
021/133	021/133	Zarben
021/135	021/135	Prettmin
021/137	021/137	Zwilipp
021/139	021/139	Warnin
021/141	021/141	Gülz
021/143	021/143	Manow
021/145	021/145	Viverow
021/147	021/147	Zettun
021/149	021/149	Varbelow
021/151	021/151	Treten
021/153	021/153	Grünwalde
021/155	021/155	Klein Massowitz
021/157	021/157	Damerkow
021/159	021/159	Gröbenzin
021/163	021/163	Berent
021/165	021/165	Groß Klinsch
021/167	021/167	Neu-Grabau
021/169	021/169	Königl. Boschpol
021/171	021/171	Sobbowitz
021/173	021/173	Dirschau
021/175	021/175	Barendt
021/177	021/177	Lindenau
021/179	021/179	Horsterbusch
021/181	021/181	Ober Kerbswalde
021/183	021/183	Wolfsdorf-Höhe
021/185	021/185	Bunden
021/187	021/187	Schönborn
021/189	021/189	Wormditt
021/191	021/191	Benern
021/193	021/193	Raunau
021/195	021/195	Großendorf
021/197	021/197	Kerwienen
021/199	021/199	Beyditten
021/201	021/201	Tollnigk
021/203	021/203	Tolksdorf
021/205	021/205	Schwarzstein
021/207	021/207	Pilwe
021/211	021/211	Przerwanken (Wiesental)
021/215	021/215	Statzen
021/217	021/217	Stosznen (Stosnau)
021/219	021/219	Babken (Legenqül)
022/055	022/055	Friedrichskoog
022/057	022/057	Barlter-Deich
022/059	022/059	Schafstedt
022/061	022/061	Wacken
022/063	022/063	Jahrsdorf
022/065	022/065	Hennstedt
022/067	022/067	Padenstedt
022/069	022/069	Rickling
022/071	022/071	Tensíeld
022/073	022/073	Hassendorf
022/075	022/075	Kiekbusch
022/077	022/077	Haffkrug
022/087	022/087	Russow
022/089	022/089	Neubuckow
022/091	092/091	Hastorf
022/093	022/093	Biestow
022/095	022/095	Bandelstorf
022/097	022/097	Tessin
022/099	022/099	Behren-Lübchin
022/101	022/101	Quitzenow
022/103	022/103	Gransebieth
022/105	022/105	Vorbein
022/107	022/107	Sassen
022/109	022/109	Weitenhagen
022/111	022/111	Lodmannshagen
022/113	022/113	Wolgast
022/115	022/115	Krummin
022/127	022/127	Groß Poberow
022/129	022/129	Lensin
022/131	022/131	Gumminshof
022/133	022/133	Darsow
022/135	022/135	Baldekow
022/137	022/137	Mallnow
022/139	022/139	Groß Panknin
022/141	022/141	Klempin
022/143	022/143	RoBnow
022/145	022/145	Klannin
022/147	022/147	Lubow
022/149	022/149	Sydow
022/151	022/151	Groß Schwirsen
022/153	022/153	Georgendorf
022/155	022/155	Adlig-Lonken
022/157	022/157	Zemmen
022/159	022/159	Prondzonka
022/165	022/165	Sarnowo
022/167	022/167	Kartowen
022/169	022/169	Wulfen/Schöneck
022/171	022/171	Spengawsken
022/173	022/173	Zeisgendorf/Dirschau
022/175	022/175	Kunzendort
022/177	022/177	Blumstein
022/179	022/179	Thörichthof
022/181	022/181	Thiensdorf
022/183	022/183	Nahmgeist
022/185	022/185	Rogehnen
022/187	022/187	Groß Thierbach
022/189	022/189	Sportehnen
022/191	022/191	Sommerfeld
022/193	022/193	Rosenbek
022/195	022/195	Liewenberg
022/197	022/197	Siegfriedswalde
022/199	022/199	Landau
022/201	022/201	Truchsen
022/203	022/203	Klawsdorf
022/205	022/205	Muhlack
022/209	022/209	Wilkassen
022/211	022/211	Siewken
022/215	022/215	Diebowen (Diebaün)
022/217	022/217	Gordeiken
022/219	022/219	Mosznen (Moschnen)
023/055	023/055	Helse
023/059	023/059	Burg
023/061	023/061	Vaale
023/063	023/063	Hohenaspe
023/065	023/065	Öschebüttel
023/067	023/067	Wiemersdorf
023/069	023/069	Heidmühlen
023/071	023/071	Wittenborn
023/073	023/073	Göls
023/075	023/075	Cashagen
023/077	023/077	Klein Timmendorf
023/079	023/079	Travemünde
023/081	023/081	Groß Schwansee
023/083	023/083	Redewisch
023/085	023/085	Fliemsdorf
023/087	023/087	Heidekaten
023/089	023/089	Kirch-Mulsow
023/091	023/091	Gerdshagen
023/093	023/093	Zeets
023/095	023/095	Prisannewitz
023/097	023/097	Laage
023/099	023/099	Basse
023/101	023/101	Granzow
023/103	023/103	Darbein
023/105	023/105	Drosedow
023/107	023/107	Alt-Plestlin
023/109	023/109	Bandelin
023/111	023/111	Karlsburg
023/113	023/113	Seckeritz
023/115	023/115	Lassan
023/117	023/117	Neppermin
023/121	023/121	Misdroy
023/123	023/123	Dannenberg
023/125	023/125	Polchow
023/127	023/127	Morgow
023/129	023/129	Tetzlaffshagen
023/131	023/131	Lübsow
023/133	023/133	Streckentin
023/135	023/135	Drosedow
023/137	023/137	Klein Jestin
023/139	023/139	Natztow
023/141	023/141	Zarnefanz
023/143	023/143	Burzlaff
023/145	023/145	Dubbertech
023/147	023/147	Goldbeck
023/149	023/149	Klein Karzenburg
023/151	023/151	Groß Volz
023/153	023/153	Schwessin
023/155	023/155	Heidemühl
023/165	023/165	Alt-Kischau
023/167	023/167	Schloß-Kischau
023/169	023/169	Kottisch
023/175	023/175	Parpahren
023/177	023/177	Schroop
023/179	023/179	Grünfelde
023/181	023/181	Baumgartn
023/183	023/183	Bauditten
023/185	023/185	Grünhagen
023/187	023/187	Königsdorf
023/189	023/189	Alt-Bolitten
023/191	023/191	Kleinenfeld
023/193	023/193	Hausberg/Guttstadt
023/195	023/195	Fleming
023/197	023/197	Lekitten
023/199	023/199	Sauerbaum
023/201	023/201	Groß Köllen
023/203	023/203	Pülz
023/205	023/205	Grunau
023/207	023/207	Jeziorken
023/215	023/215	Krzywen (Bergenau)
023/217	023/217	Duttken
024/053	024/053	Döse
024/057	024/057	Brunsbüttelerhafen
024/059	024/059	St. Margarethen
024/061	024/061	Großwisch
024/063	024/063	Steinburg
024/065	024/065	Weddelbrook
024/067	024/067	Schmalfeld
024/069	024/069	Kattendorf
024/071	024/071	Mözen
024/073	024/073	Bahrenhof
024/075	024/075	Zarpen
024/077	024/077	Israelsdorf
024/079	024/079	Teschow
024/081	024/081	Flechtkrug
024/083	024/083	Grevesmühlen
024/085	024/085	Proseken
024/087	024/087	Lübow
024/089	024/089	Lüdersdorf
024/091	024/091	Neu-Bernitt
024/093	024/093	Goldewin
024/095	024/095	Zehlendorf
024/097	024/097	Breesen
024/099	024/099	Jördenstorf
024/101	024/101	Glasow
024/103	024/103	Deven
024/105	024/105	Demnin
024/107	024/107	Schmarsow
024/109	024/109	Gramzow
024/111	024/111	Grüttow
024/113	024/113	Ziethen
024/115	024/115	Camp
024/117	024/117	Prätenow / Usedom
024/119	024/119	Camminke / Usedom
024/121	024/121	Vietzig/Wollin
024/123	024/123	Groß Mockratz/Wollin
024/125	024/125	Dobberphul
024/127	024/127	Schnatow
024/129	024/129	Ravenhorst
024/131	024/131	Batzwitz
024/133	024/133	Witzmitz
024/135	024/135	Meseritz
024/137	024/137	Falkenberg
024/139	/	batun
024/141	024/141	Lasbeck
024/143	024/143	Damen
024/145	024/145	Zuch
024/147	024/147	Bernsdorff
024/149	024/149	Kasimirshof
024/151	024/151	Penkuhl
024/153	024/153	Flötenstein
024/155	024/155	Eisenbrück
024/163	024/163	Mockrau
024/165	024/165	Odry
024/167	024/167	OssowO
024/169	024/169	Lubichow
024/171	024/171	Dombrowken
024/175	024/175	Klein Schardau
024/179	024/179	Groß Teschendorf
024/181	024/181	Groß Münsterberg
024/183	024/183	Miswalde
024/185	024/185	Barten
024/187	024/187	Reußen
024/189	024/189	Eckersdorf
024/191	024/191	Rosengarth
024/193	024/193	Süssenthal
024/195	024/195	Neu-Vierzighuben
024/197	024/197	Alt-Vierzighuben
024/199	024/199	Willims
024/201	024/201	Bredinken
024/203	024/203	Sonntag
024/217	024/217	Stradaunen
024/221	024/221	Kallinowen (Dreimühlen)
025/043	025/043	Wangerooge
025/051	025/051	Berensch
025/053	025/053	Altenbruch
025/055	025/055	Westerende-Otterndorf
025/057	025/057	Kadenberge
025/059	025/059	Esch
025/061	025/061	Glücksstadt-Engelbrechtsche Wildnis
025/063	025/063	Hahnenkamp
025/065	025/065	Barmstedt.
025/067	025/067	Hemding
025/069	025/069	Nahe
025/071	025/071	Vinzier
025/073	025/073	Rümpel
025/075	025/075	Groß Wesenberg
025/077	025/077	Herrnburg
025/079	025/079	Niendorf
025/081	025/081	Othensdorf
025/083	025/083	Diedrichshagen
025/085	025/085	Kleinen
025/087	025/087	Jesendorf
025/089	025/089	Mankmoos
025/091	025/091	Zermin
025/093	025/093	Badendiek
025/095	025/095	Glasewitz
025/099	025/099	Teterow
025/101	025/101	Remplin
025/103	025/103	Moltzahn
025/105	025/105	Kaslin
025/107	025/107	Tückhude
025/109	025/109	Breest
025/111	025/111	Wegezin
025/113	025/113	Ducherow
025/115	025/115	Leopoldshagen
025/123	025/123	Schminz
025/125	025/125	Groß und Klein Weckow
025/127	025/127	Klemmen
025/129	025/129	Tonnebuhr
025/131	025/131	Ornshagen
025/133	025/133	Gardin
025/135	025/135	Boltenhagen
025/137	025/137	Lekow
025/139	025/139	Damerow
025/141	025/141	Wusterbarth
025/143	025/143	Lucknitz
025/145	025/145	Gramenz
025/147	025/147	Eschenriege
025/149	025/149	Dolgen
025/151	025/151	Georgenhütte
025/153	025/153	Wehnershof
025/155	025/155	Ziethen
025/157	025/157	KonarcZyn
025/159	025/159	Ziegellack
025/177	025/177	Oschen
025/179	025/179	Jakobsdorf
025/181	025/181	Bornitz
025/183	025/183	Gerswalde
025/185	025/185	Schnellwalde
025/187	025/187	Winkenhagen
025/189	025/189	Dungen
025/191	025/191	Warkallen
026/031	026/031	Juist
026/033	026/033	Norderney
026/037	026/037	Baltrum
026/041	026/041	Altharlingersiel
026/043	026/043	Friedrich-Augustengroden
026/045	026/045	Horumersiel
026/051	026/051	Kappel
026/053	026/053	Krempel
026/055	026/055	Ihlienworth
026/057	026/057	Ahrensflucht
026/059	026/059	Nord-Isensee
026/061	026/061	Dornbusch
026/063	026/063	Seester
026/065	026/065	Borstel
026/067	026/067	Tangstedt
026/069	026/069	Tangstedterheide
026/071	026/071	Delingsdorf
026/073	026/073	Sandesneben
026/075	026/075	Kastorf
026/077	026/077	Harmsdorf
026/079	026/079	Klein Molzahn
026/081	026/081	Gadebusch
026/083	026/083	Vietlübbe
026/085	026/085	Rampe
026/087	026/087	Retgendorf
026/089	026/089	Thurow
026/091	026/091	Gägelow
026/093	026/093	Suckwitz
026/095	026/095	Groß und Klein Tessin
026/097	026/097	Klein Luckow
026/099	026/099	Groß Luckow
026/101	026/101	Leuschentin
026/103	026/103	Ivenack
026/105	026/105	Zolkendorf
026/107	026/107	Pripsleben
026/109	026/109	Werder
026/111	026/111	Zinzow
026/113	026/113	Schwichtenberg
026/115	026/115	Blumenthal
026/117	026/117	Ueckermünde
026/119	026/119	Ahlbeck
026/123	026/123	Neu-Sarnow
026/125	026/125	Hohenbrück
026/127	026/127	Schwanteshagen
026/129	026/129	Damerow
026/131	026/131	Piepenburg
026/133	026/133	Groß Raddow
026/135	026/135	Premslaff
026/137	026/137	Völzkow
026/139	026/139	Langenhaken
026/141	026/141	Alt-Sanskow
026/143	026/143	Alt-Koprieben
026/145	026/145	Gissolk (Eichkamp)
026/147	026/147	Mossin
026/153	026/153	Elsenau
026/155	026/155	Stolzenfelde
026/157	026/157	Kaldau
026/159	026/159	Krojanten
026/161	026/161	Lottvn (Sternau)
026/165	026/165	Lippowo
026/173	026/173	Münsterwalde
026/175	026/175	Marienwerder
026/177	026/177	Klein Krebs
026/179	026/179	Wachsmuth
026/181	026/181	Groß Albrechtau
026/183	026/183	Weepers
026/185	026/185	Groß Karnitten
026/187	026/187	Osterode / Ostpr.
026/189	026/189	Rapatten
027/027	027/027	Borkum
027/035	027/035	Norden
027/037	027/037	Utarp
027/039	027/039	Thunum
027/041	027/041	Ultel
027/043	027/043	St. Joost
027/045	027/045	Sengwarden
027/047	027/047	Langwarden
027/051	027/051	Imsum
027/053	027/053	Hymendorf
027/055	027/055	Stinstedt
027/057	027/057	Mittelstenahe
027/059	027/059	Hechthausen
027/061	027/061	Bützfleth
027/063	027/063	Scholenfleth
027/065	027/065	Thesdorf/Pinneberg
027/067	027/067	Bönningstedt
