 17/211            54  30    21  50                        EST       69175 67729  
 17/213            54  30    22   0                        EST       69520 67759  
 17/215            54  30    22  10                        EST       69865 67789  
 17/217            54  30    22  20                        EST       70210 67821  
 17/219            54  30    22  30                        EST       70554 67853  
 18/ 51            54  25     8  30                        EST       41490 67374  
 18/ 53            54  25     8  40                        EST       41836 67346  
 18/ 55            54  25     8  50                        EST       42182 67319  
 18/ 57            54  25     9   0                        EST       42528 67293  
 18/ 59            54  25     9  10                        EST       42873 67267  
 18/ 61            54  25     9  20                        EST       43219 67242  
 18/ 63            54  25     9  30                        EST       43565 67218  
 18/ 65            54  25     9  40                        EST       43911 67194  
 18/ 67            54  25     9  50                        EST       44257 67171  
 18/ 69            54  25    10   0                        EST       44603 67149  
 18/ 71            54  25    10  10                        EST       44949 67128  
 18/ 73            54  25    10  20                        EST       45296 67107  
 18/ 75            54  25    10  30                        EST       45642 67087  
 18/ 79            54  25    10  50                        EST       46334 67049  
 18/ 81            54  25    11   0                        EST       46681 67032  
 18/ 97            54  25    12  20                        EST       49452 66915  
 18/ 99            54  25    12  30                        EST       49799 66904  
 18/103            54  25    12  50                        EST       50492 66884  
 18/105            54  25    13   0                        EST       50839 66875  
 18/107            54  25    13  10                        EST       51186 66866  
 18/109            54  25    13  20                        EST       51532 66859  
 18/111            54  25    13  30                        EST       51879 66852  
 18/143            54  25    16  10                        EST       57427 66840  
 18/145            54  25    16  20                        EST       57774 66846  
 18/147            54  25    16  30                        EST       58121 66852  
 18/149            54  25    16  40                        EST       58468 66859  
 18/151            54  25    16  50                        EST       58814 66866  
 18/153            54  25    17   0                        EST       59161 66875  
 18/155            54  25    17  10                        EST       59508 66884  
 18/157            54  25    17  20                        EST       59854 66894  
 18/159            54  25    17  30                        EST       60201 66904  
 18/161            54  25    17  40                        EST       60548 66915  
 18/163            54  25    17  50                        EST       60894 66927  
 18/165            54  25    18   0                        EST       61241 66940  
 18/169            54  25    18  20                        EST       61934 66968  
 18/171            54  25    18  30                        EST       62280 66983  
 18/173            54  25    18  40                        EST       62627 66998  
 18/181            54  25    19  20                        EST       64012 67068  
 18/185            54  25    19  40                        EST       64704 67107  
 18/187            54  25    19  50                        EST       65051 67128  
 18/189            54  25    20   0                        EST       65397 67149  
 18/191            54  25    20  10                        EST       65743 67171  
 18/193            54  25    20  20                        EST       66089 67194  
 18/195            54  25    20  30                        EST       66435 67218  
 18/197            54  25    20  40                        EST       66781 67242  
 18/199            54  25    20  50                        EST       67127 67267  
 18/201            54  25    21   0                        EST       67472 67293  
 18/203            54  25    21  10                        EST       67818 67319  
 18/205            54  25    21  20                        EST       68164 67346  
 18/207            54  25    21  30                        EST       68510 67374  
 18/209            54  25    21  40                        EST       68855 67403  
 18/211            54  25    21  50                        EST       69201 67432  
 18/213            54  25    22   0                        EST       69546 67462  
 18/215            54  25    22  10                        EST       69892 67493  
 18/219            54  25    22  30                        EST       70582 67557  
 19/ 51            54  20     8  30                        EST       41466 67078  
 19/ 53            54  20     8  40                        EST       41812 67050  
 19/ 55            54  20     8  50                        EST       42159 67023  
 19/ 57            54  20     9   0                        EST       42505 66996  
 19/ 59            54  20     9  10                        EST       42852 66971  
 19/ 61            54  20     9  20                        EST       43198 66945  
 19/ 63            54  20     9  30                        EST       43545 66921  
 19/ 65            54  20     9  40                        EST       43891 66897  
 19/ 67            54  20     9  50                        EST       44238 66875  
 19/ 69            54  20    10   0                        EST       44585 66852  
 19/ 71            54  20    10  10                        EST       44931 66831  
 19/ 73            54  20    10  20                        EST       45278 66810  
 19/ 75            54  20    10  30                        EST       45625 66790  
 19/ 77            54  20    10  40                        EST       45972 66771  
 19/ 79            54  20    10  50                        EST       46319 66752  
 19/ 81            54  20    11   0                        EST       46666 66735  
 19/ 97            54  20    12  20                        EST       49443 66618  
 19/ 99            54  20    12  30                        EST       49790 66607  
 19/101            54  20    12  40                        EST       50137 66596  
 19/103            54  20    12  50                        EST       50484 66587  
 19/105            54  20    13   0                        EST       50832 66578  
 19/107            54  20    13  10                        EST       51179 66569  
 19/109            54  20    13  20                        EST       51526 66562  
 19/143            54  20    16  10                        EST       57432 66543  
 19/145            54  20    16  20                        EST       57779 66548  
 19/147            54  20    16  30                        EST       58126 66555  
 19/149            54  20    16  40                        EST       58474 66562  
 19/151            54  20    16  50                        EST       58821 66569  
 19/153            54  20    17   0                        EST       59168 66578  
 19/155            54  20    17  10                        EST       59516 66587  
 19/157            54  20    17  20                        EST       59863 66596  
 19/159            54  20    17  30                        EST       60210 66607  
 19/161            54  20    17  40                        EST       60557 66618  
 19/163            54  20    17  50                        EST       60905 66630  
 19/165            54  20    18   0                        EST       61252 66643  
 19/167            54  20    18  10                        EST       61599 66656  
 19/169            54  20    18  20                        EST       61946 66671  
 19/171            54  20    18  30                        EST       62293 66686  
 19/173            54  20    18  40                        EST       62640 66701  
 19/175            54  20    18  50                        EST       62987 66718  
 19/177            54  20    19   0                        EST       63334 66735  
 19/179            54  20    19  10                        EST       63681 66752  
 19/181            54  20    19  20                        EST       64028 66771  
 19/183            54  20    19  30                        EST       64375 66790  
 19/185            54  20    19  40                        EST       64722 66810  
 19/187            54  20    19  50                        EST       65069 66831  
 19/189            54  20    20   0                        EST       65415 66852  
 19/191            54  20    20  10                        EST       65762 66875  
 19/193            54  20    20  20                        EST       66109 66897  
 19/195            54  20    20  30                        EST       66455 66921  
 19/197            54  20    20  40                        EST       66802 66945  
 19/199            54  20    20  50                        EST       67148 66971  
 19/201            54  20    21   0                        EST       67495 66996  
 19/203            54  20    21  10                        EST       67841 67023  
 19/205            54  20    21  20                        EST       68188 67050  
 19/207            54  20    21  30                        EST       68534 67078  
 19/209            54  20    21  40                        EST       68880 67107  
 19/211            54  20    21  50                        EST       69226 67136  
