	WORD	COGID	ALIGN
5079	83	1	b - - r o - d
5080	83	1	b - - r o - d
5081	111	1	b - - r o - t
5082	111	1	b - - r o - t
5083	111	1	b - - r o - t
5084	100	1	b - - r oo - d
5085	83	1	b - - r o - d
5086	111	1	b - - r o - t
5087	111	1	b - - r o - t
5088	83	1	b - - r o - d
5089	83	1	b - - r o - d
5090	111	1	b - - r o - t
5091	111	1	b - - r o - t
5092	83	1	b - - r o - d
5093	100	1	b - - r oo - d
5094	100	1	b - - r oo - d
5095	111	1	b - - r o - t
5096	111	1	b - - r o - t
5097	83	1	b - - r o - d
5098	111	1	b - - r o - t
5099	100	1	b - - r oo - d
5100	111	1	b - - r o - t
5101	111	1	b - - r o - t
5102	111	1	b - - r o - t
5103	111	1	b - - r o - t
5104	111	1	b - - r o - t
5105	83	1	b - - r o - d
5106	76	1	b - - r oa - t
5107	76	1	b - - r oa - t
5108	111	1	b - - r o - t
5109	111	1	b - - r o - t
5110	83	1	b - - r o - d
5111	111	1	b - - r o - t
5112	111	1	b - - r o - t
5113	108	1	b - - r oou - d
5114	115	1	b - - r ou - d
5115	111	1	b - - r o - t
5116	83	1	b - - r o - d
5117	120	1	b - - r ou - t
5118	34	1	b - - r au - d
5119	115	1	b - - r ou - d
5120	76	1	b - - r oa - t
5121	111	1	b - - r o - t
5122	73	1	b - - r oa - d
5123	25	1	b - - r ao - t
5124	15	1	b - - r a - d
5125	48	1	b - - r ea - d
5126	83	1	b - - r o - d
5127	83	1	b - - r o - d
5128	73	1	b - - r oa - d
5129	83	1	b - - r o - d
5130	111	1	b - - r o - t
5131	111	1	b - - r o - t
5132	111	1	b - - r o - t
5133	83	1	b - - r o - d
5134	111	1	b - - r o - t
5135	111	1	b - - r o - t
5136	83	1	b - - r o - d
5137	111	1	b - - r o - t
5138	111	1	b - - r o - t
5139	111	1	b - - r o - t
5140	83	1	b - - r o - d
5141	111	1	b - - r o - t
5142	175	1	p - - r o - t
5143	111	1	b - - r o - t
5144	111	1	b - - r o - t
5145	83	1	b - - r o - d
5146	83	1	b - - r o - d
5147	111	1	b - - r o - t
5148	83	1	b - - r o - d
5149	111	1	b - - r o - t
5150	83	1	b - - r o - d
5151	83	1	b - - r o - d
5152	83	1	b - - r o - d
5153	111	1	b - - r o - t
5154	111	1	b - - r o - t
5155	83	1	b - - r o - d
5156	111	1	b - - r o - t
5157	111	1	b - - r o - t
5158	83	1	b - - r o - d
5159	111	1	b - - r o - t
5160	111	1	b - - r o - t
5161	83	1	b - - r o - d
5162	111	1	b - - r o - t
5163	111	1	b - - r o - t
5164	111	1	b - - r o - t
5165	73	1	b - - r oa - d
5166	83	1	b - - r o - d
5167	100	1	b - - r oo - d
5168	83	1	b - - r o - d
5169	111	1	b - - r o - t
5170	83	1	b - - r o - d
5171	83	1	b - - r o - d
5172	120	1	b - - r ou - t
5173	73	1	b - - r oa - d
5174	27	1	b - - r aou - d
5175	115	1	b - - r ou - d
5176	111	1	b - - r o - t
5177	115	1	b - - r ou - d
5178	73	1	b - - r oa - d
5179	111	1	b - - r o - t
5180	73	1	b - - r oa - d
5181	73	1	b - - r oa - d
5182	83	1	b - - r o - d
5183	89	1	b - - r oe - t
5184	57	1	b - - r eoa - t
5185	26	1	b - - r äo - t
5186	15	1	b - - r a - d
5187	111	1	b - - r o - t
5188	31	1	b - - r a - t
5189	115	1	b - - r ou - d
5190	15	1	b - - r a - d
5191	83	1	b - - r o - d
5192	111	1	b - - r o - t
5193	83	1	b - - r o - d
5194	111	1	b - - r o - t
5195	83	1	b - - r o - d
5196	111	1	b - - r o - t
5197	111	1	b - - r o - t
5198	83	1	b - - r o - d
5199	171	1	p - - r o - d
5200	83	1	b - - r o - d
5201	171	1	p - - r o - d
5202	171	1	p - - r o - d
5203	76	1	b - - r oa - t
5204	83	1	b - - r o - d
5205	83	1	b - - r o - d
5206	83	1	b - - r o - d
5207	83	1	b - - r o - d
5208	111	1	b - - r o - t
5209	111	1	b - - r o - t
5210	83	1	b - - r o - d
5211	83	1	b - - r o - d
5212	83	1	b - - r o - d
5213	83	1	b - - r o - d
5214	111	1	b - - r o - t
5215	83	1	b - - r o - d
5216	100	1	b - - r oo - d
5217	106	1	b - - r oo - t
5218	111	1	b - - r o - t
5219	83	1	b - - r o - d
5220	111	1	b - - r o - t
5221	111	1	b - - r o - t
5222	106	1	b - - r oo - t
5223	111	1	b - - r o - t
5224	83	1	b - - r o - d
5225	76	1	b - - r oa - t
5226	111	1	b - - r o - t
5227	73	1	b - - r oa - d
5228	111	1	b - - r o - t
5229	83	1	b - - r o - d
5230	111	1	b - - r o - t
5231	111	1	b - - r o - t
5232	34	1	b - - r au - d
5233	108	1	b - - r oou - d
5234	40	1	b - - r au - t
5235	115	1	b - - r ou - d
5236	111	1	b - - r o - t
5237	80	1	b - - r oau - d
5238	105	1	b - - r ooo - d
5239	111	1	b - - r o - t
5240	111	1	b - - r o - t
5241	115	1	b - - r ou - d
5242	120	1	b - - r ou - t
5243	83	1	b - - r o - d
5244	111	1	b - - r o - t
5245	111	1	b - - r o - t
5246	137	1	b - - r u - d
5247	111	1	b - - r o - t
5248	111	1	b - - r o - t
5249	111	1	b - - r o - t
5250	111	1	b - - r o - t
5251	83	1	b - - r o - d
5252	111	1	b - - r o - t
5253	83	1	b - - r o - d
5254	83	1	b - - r o - d
5255	83	1	b - - r o - d
5256	83	1	b - - r o - d
5257	111	1	b - - r o - t
5258	111	1	b - - r o - t
5259	111	1	b - - r o - t
5260	83	1	b - - r o - d
5261	111	1	b - - r o - t
5262	83	1	b - - r o - d
5263	111	1	b - - r o - t
5264	100	1	b - - r oo - d
5265	111	1	b - - r o - t
5266	83	1	b - - r o - d
5267	83	1	b - - r o - d
5268	111	1	b - - r o - t
5269	111	1	b - - r o - t
5270	111	1	b - - r o - t
5271	111	1	b - - r o - t
5272	111	1	b - - r o - t
5273	76	1	b - - r oa - t
5274	111	1	b - - r o - t
5275	83	1	b - - r o - d
5276	111	1	b - - r o - t
5277	76	1	b - - r oa - t
5278	83	1	b - - r o - d
5279	40	1	b - - r au - t
5280	111	1	b - - r o - t
5281	115	1	b - - r ou - d
5282	83	1	b - - r o - d
5283	115	1	b - - r ou - d
5284	76	1	b - - r oa - t
5285	83	1	b - - r o - d
5286	120	1	b - - r ou - t
5287	120	1	b - - r ou - t
5288	111	1	b - - r o - t
5289	111	1	b - - r o - t
5290	31	1	b - - r a - t
5291	83	1	b - - r o - d
5292	111	1	b - - r o - t
5293	111	1	b - - r o - t
5294	120	1	b - - r ou - t
5295	111	1	b - - r o - t
5296	83	1	b - - r o - d
5297	111	1	b - - r o - t
5298	83	1	b - - r o - d
5299	111	1	b - - r o - t
5300	111	1	b - - r o - t
5301	83	1	b - - r o - d
5302	111	1	b - - r o - t
5303	111	1	b - - r o - t
5304	111	1	b - - r o - t
5305	111	1	b - - r o - t
5306	83	1	b - - r o - d
5307	83	1	b - - r o - d
5308	47	1	b - - r - - dd
5309	83	1	b - - r o - d
5310	83	1	b - - r o - d
5311	83	1	b - - r o - d
5312	83	1	b - - r o - d
5313	111	1	b - - r o - t
5314	106	1	b - - r oo - t
5315	111	1	b - - r o - t
5316	83	1	b - - r o - d
5317	111	1	b - - r o - t
5318	83	1	b - - r o - d
5319	83	1	b - - r o - d
5320	111	1	b - - r o - t
5321	73	1	b - - r oa - d
5322	76	1	b - - r oa - t
5323	76	1	b - - r oa - t
5324	76	1	b - - r oa - t
5325	111	1	b - - r o - t
5326	111	1	b - - r o - t
5327	83	1	b - - r o - d
5328	83	1	b - - r o - d
5329	39	1	b - - r auo - t
5330	83	1	b - - r o - d
5331	40	1	b - - r au - t
5332	76	1	b - - r oa - t
5333	6	1	b - - - ou - d
5334	40	1	b - - r au - t
5335	40	1	b - - r au - t
5336	111	1	b - - r o - t
5337	31	1	b - - r a - t
5338	40	1	b - - r au - t
5339	115	1	b - - r ou - d
5340	111	1	b - - r o - t
5341	83	1	b - - r o - d
5342	111	1	b - - r o - t
5343	111	1	b - - r o - t
5344	120	1	b - - r ou - t
5345	111	1	b - - r o - t
5346	111	1	b - - r o - t
5347	175	1	p - - r o - t
5348	171	1	p - - r o - d
5349	111	1	b - - r o - t
5350	111	1	b - - r o - t
5351	111	1	b - - r o - t
5352	106	1	b - - r oo - t
5353	83	1	b - - r o - d
5354	106	1	b - - r oo - t
5355	111	1	b - - r o - t
5356	106	1	b - - r oo - t
5357	111	1	b - - r o - t
5358	111	1	b - - r o - t
5359	111	1	b - - r o - t
5360	111	1	b - - r o - t
5361	111	1	b - - r o - t
5362	83	1	b - - r o - d
5363	111	1	b - - r o - t
5364	111	1	b - - r o - t
5365	83	1	b - - r o - d
5366	76	1	b - - r oa - t
5367	76	1	b - - r oa - t
5368	111	1	b - - r o - t
5369	83	1	b - - r o - d
5370	83	1	b - - r o - d
5371	3	1	b - - - o - d
5372	83	1	b - - r o - d
5373	83	1	b - - r o - d
5374	120	1	b - - r ou - t
5375	115	1	b - - r ou - d
