	WORD	COGID	ALIGN
1550	94	1	f l e sch
1551	64	1	f l ee sch
1552	64	1	f l ee sch
1553	94	1	f l e sch
1554	64	1	f l ee sch
1555	64	1	f l ee sch
1556	94	1	f l e sch
1557	94	1	f l e sch
1558	64	1	f l ee sch
1559	64	1	f l ee sch
1560	64	1	f l ee sch
1561	64	1	f l ee sch
1562	94	1	f l e sch
1563	64	1	f l ee sch
1564	94	1	f l e sch
1565	47	1	f l a sch
1566	64	1	f l ee sch
1567	94	1	f l e sch
1568	94	1	f l e sch
1569	64	1	f l ee sch
1570	94	1	f l e sch
1571	94	1	f l e sch
1572	94	1	f l e sch
1573	94	1	f l e sch
1574	64	1	f l ee sch
1575	94	1	f l e sch
1576	64	1	f l ee sch
1577	64	1	f l ee sch
1578	94	1	f l e sch
1579	94	1	f l e sch
1580	84	1	f l ei s k
1581	98	1	f l e s k
1582	84	1	f l ei s k
1583	84	1	f l ei s k
1584	34	1	f l äi s k
1585	34	1	f l äi s k
1586	84	1	f l ei s k
1587	94	1	f l e sch
1588	84	1	f l ei s k
1589	101	1	f l e ss k
1590	66	1	f l ee s k
1591	64	1	f l ee sch
1592	94	1	f l e sch
1593	30	1	f l ai sch
1594	31	1	f l äi sch
1595	94	1	f l e sch
1596	94	1	f l e sch
1597	79	1	f l ei sch
1598	79	1	f l ei sch
1599	64	1	f l ee sch
1600	31	1	f l äi sch
1601	79	1	f l ei sch
1602	60	1	f l eei s k
1603	64	1	f l ee sch
1604	64	1	f l ee sch
1605	79	1	f l ei sch
1606	79	1	f l ei sch
1607	64	1	f l ee sch
1608	94	1	f l e sch
1609	94	1	f l e sch
1610	64	1	f l ee sch
1611	64	1	f l ee sch
1612	64	1	f l ee sch
1613	64	1	f l ee sch
1614	94	1	f l e sch
1615	94	1	f l e sch
1616	64	1	f l ee sch
1617	94	1	f l e sch
1618	64	1	f l ee sch
1619	94	1	f l e sch
1620	94	1	f l e sch
1621	94	1	f l e sch
1622	64	1	f l ee sch
1623	64	1	f l ee sch
1624	94	1	f l e sch
1625	94	1	f l e sch
1626	94	1	f l e sch
1627	64	1	f l ee sch
1628	64	1	f l ee sch
